feature,disease
Syndromic Brachydactyly,"Spondyloepimetaphyseal dysplasia, cone-shaped epiphyses type"
Syndromic Brachydactyly,"Spondyloepimetaphyseal dysplasia, dominant metatropic type"
Syndromic Brachydactyly,"Spondyloepimetaphyseal dysplasia, Irapa type"
Syndromic Brachydactyly,"Spondyloepimetaphyseal dysplasia, Iraqi type"
Syndromic Brachydactyly,"Spondyloepimetaphyseal dysplasia, Maroteaux"
Syndromic Brachydactyly,"Spondyloepimetaphyseal dysplasia, short limb-hand, abnormal calcification type"
Syndromic Brachydactyly,"Spondylometaphyseal dysplasia, Sedghatian tye"
Syndromic Brachydactyly,Spondyloperipheral dysplasia
Syndromic Brachydactyly,"Stratton-Parker syndrome: growth hormone deficiency, dextrocardia, wormian bones, brachycamptodactly, etc."
Syndromic Brachydactyly,Symbrachydactyly-oligodactyly
Syndromic Brachydactyly,Symphalangism-surdity syndrome 
Syndromic Brachydactyly,Synpolydactyly-brachydactyly
Syndromic Brachydactyly,Tabatznik syndrome
Syndromic Brachydactyly,"Talo-patello-scaphoid osteolysis, synovitis, brachydactyly E"
Syndromic Brachydactyly,TAR syndrome
Syndromic Brachydactyly,Tattoo dysplasia
Syndromic Brachydactyly,Terminal osseous dysplasia-pigmentary defects
Syndromic Brachydactyly,Thanatophoric dysplasia
Syndromic Brachydactyly,"Thick skin, ""coarse"" face, brachydactyly, camptodactyly, mitral valve prolapse, etc."
Syndromic Brachydactyly,"Tonoki syndrome (brachydactyly, nail dysplasia, MR)"
Syndromic Brachydactyly,"Trichorhinophalangeal syndrome, type I"
Syndromic Brachydactyly,"Trichorhinophalangeal syndrome, type II"
Syndromic Brachydactyly,Tuomaala syndrome
Syndromic Brachydactyly,Ulnar/fibular ray defect-brachydactyly
Syndromic Brachydactyly,"Uncombable hair, retinal pigmentary dystrophy, cataract, oligodontia, brachydactyly; autosomal dominant"
Syndromic Brachydactyly,Van der Woude syndrome
Syndromic Brachydactyly,Weill-Marchesani syndrome
Syndromic Brachydactyly,Wolfram syndrome
Syndromic Brachydactyly,Zunich neuroectodermal syndrome
Broad Tubular Bones,"Achondrogenesis, type I"
Broad Tubular Bones,"Achondrogenesis, type II"
Broad Tubular Bones,Chromosome 8 trisomy syndrome
Broad Tubular Bones,Craniodiaphysial dysplasia
Broad Tubular Bones,Desbuquois dysplasia
Broad Tubular Bones,Diaphyseal dysplasia-proximal myopathy
Broad Tubular Bones,"Diaphyseal dysplasia, Ghosal hemato type"
Broad Tubular Bones,Dysosteosclerosis
Broad Tubular Bones,Dyssegmental dysplasia
Broad Tubular Bones,"Endosteal hyperostosis, van Buchem type"
Broad Tubular Bones,"Endosteal hyperostosis, Worth type"
Broad Tubular Bones,Fibrogenesis imperfecta ossium
Broad Tubular Bones,Fibrous dysplasia
Broad Tubular Bones,Gaucher disease
Broad Tubular Bones,GM1 gangliosidosis
Broad Tubular Bones,Hyperphosphatasemia
Broad Tubular Bones,Hypochondrogenesis
Broad Tubular Bones,Hypochondroplasia
Broad Tubular Bones,Infantile multisystem inflammatory disease
Broad Tubular Bones,Iron deficiency anemia
Broad Tubular Bones,Kyphomelic dysplasia
Broad Tubular Bones,Lenz-Majewski dysplasia
Broad Tubular Bones,Leri syndrome
Broad Tubular Bones,Mastocytosis
Broad Tubular Bones,"Mesomelic dysplasia, Langer type"
Broad Tubular Bones,"Metaphyseal chondrodysplasia, Jansen type"
Broad Tubular Bones,Mucolipodoses
Broad Tubular Bones,Mucopolysaccharidoses
Broad Tubular Bones,Neu-Laxova syndrome
Broad Tubular Bones,Niemann-Pick disease
Broad Tubular Bones,Oculodentoosseous dysplasia
Broad Tubular Bones,Opsismodysplasia  
Broad Tubular Bones,"Osteogenesis imperfecta, type II"
Broad Tubular Bones,"Otopalatodigital syndrome, type I"
Broad Tubular Bones,Pachydermoperiostosis
Broad Tubular Bones,Paget disease of bone
Broad Tubular Bones,Pyle dysplasia
Broad Tubular Bones,"Rhizomelic bone dysplasia wiili clublike femurs and humeri, elbow dislocation, etc."
Broad Tubular Bones,Schwarz-Lelek syndrome
Broad Tubular Bones,Singleton-Merten syndrome
Broad Tubular Bones,Thalassemia
Broad Tubular Bones,Thanatophoric dysplasia
"Calcaneus: Duplicate Ossification Centers, Stippled Calcification ",Ankle/foot coalitions
"Calcaneus: Duplicate Ossification Centers, Stippled Calcification ",Chondrodysplasia punctata
"Calcaneus: Duplicate Ossification Centers, Stippled Calcification ",Down syndrome
"Calcaneus: Duplicate Ossification Centers, Stippled Calcification ",GM 1  gangliosidosis
"Calcaneus: Duplicate Ossification Centers, Stippled Calcification ",Larsen syndrome
"Calcaneus: Duplicate Ossification Centers, Stippled Calcification ",Mucolipidosis II
"Calcaneus: Duplicate Ossification Centers, Stippled Calcification ",Short rib-polydactyly syndromes
"Calcaneus: Duplicate Ossification Centers, Stippled Calcification ",Thanatophoric dysplasia
Camptodactyly,Aarskog syndrome
Camptodactyly,Acro-fronto-facio-nasal dysostosis syndrome
Camptodactyly,"Agenesis corpus callosum, camptodactyly, obesity"
Camptodactyly,Aicardi syndrome
Camptodactyly,Antley-Bixler syndrome
Camptodactyly,Arthrogryposis (distal)
